Trench ,Unit,Context,Taxon,Element,Mass (g),Count,Max L/W mm,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW15,19,F. Cyclophoridae,Gastropod,1.9,3,NA,N,N,HVV,,25-Jul-12
A,SW15,19,UNID,Gastropod,86.3,157,NA,N,N,HVV,,25-Jul-12
A,SW15,19,BiB,Bivalve,17.5,10,NA,N,N,HVV,,25-Jul-12
A,SW15,19,F. Potamididae,Gastropod,181.4,188,NA,N,N,HVV,,25-Jul-12
A,SW15,19,Operculum,Gastropod,1.9,5,NA,N,N,HVV,,25-Jul-12
A,SW15,19,Operculum,Gastropod,0.3,1,17.25,N,N,HVV,100-0336/0337,25-Jul-12
A,SW15,19,BiB,Bivalve,3.6,1,39.28,N,N,HVV,100-0334/0335,25-Jul-12
A,SW15,19,Operculum,Gastropod,1.1,3,NA,B,N,HVV,100-0338/0339/0340,25-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,Max L/W mm,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES ,Date
A,SW16,21,F. Amblemididae ,Bivalve,2.9,1,NA,N,N,HVV,100-0341/342,
A,SW16,21,F. Cyclophoridae,Gastropod,2.5,2,NA,N,N,HVV,,
A,SW16,21,Operculum,Gastropod,0.5,1,NA,N,N,HVV,,
A,SW16,21,Operculum,Gastropod,0.5,1,NA,B,N,HVV,,
A,SW16,21,F. Amblemididae ,Bivalve,1.8,1,NA,N,N,HVV,,
A,SW16,21,Unknown,Gastropod,35.2,93,NA,N,N,HVV,,
A,SW16,21,Unknown,Bivalve,44.5,78,NA,N,N,HVV,,
A,SW16,21,F. Potamididae,Gastropod,72.3,71,NA,N,N,HVV,,
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,Max L/W mm,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES ,Date
A,SW16,22,Operculum,Gastropod,0.5,1,NA,N,N,HVV,,
A,SW16,22,F. Cyclophoridae,Gastropod,1.1,2,NA,N,N,HVV,,
A,SW16,22,F. Amblemididae ,Bivalve,8,2,NA,N,N,HVV,,
A,SW16,22,Unknown,Bivalve,26.5,67,NA,N,N,HVV,,
A,SW16,22,Unknown,Gastropod,17.2,29,NA,N,N,HVV,,
A,SW16,22,F. Potamididae,Gastropod,22.1,22,NA,N,N,HVV,,
A,SW16,22,F. Potamididae,Gastropod,1.1,1,NA,N,N,HVV,100-0345/0346/0347,
Trench,Unit,Context,Taxon,Element,Mass (g),Count,Max L/W mm,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,,,,,,,NA,N,N,HVV,,
A,,,,,,,NA,N,N,HVV,,
A,,,,,,,NA,N,N,HVV,,
A,,,,,,,NA,N,N,HVV,,
A,,,,,,,NA,N,N,HVV,,
A,,,,,,,NA,N,N,HVV,,
